rankings,contests,ani_num
1713,30,0
1714,17,2
1715,200,-1
1716,26,1
1717,16,0
1718,121,0
1719,36,-1
1720,18,0
1721,25,0
1722,338,0
1723,48,0
1724,60,0
1725,16,-1
1776,67,0
1777,12,0
1778,107,0
1779,22,-1
1780,175,3
1781,86,0
1782,30,0
1783,44,0
1784,101,0
1785,43,0
1786,41,0
1787,73,4
1788,85,-1
1789,43,-1
1790,51,0
1791,13,-1
1792,23,-1
1793,30,-1
1794,22,-1
1795,33,-1
1796,200,0
1797,279,3
1798,40,0
1799,84,0
1800,53,0
1826,54,0
1827,89,1
1828,54,0
1829,38,-1
1830,6,0
1831,77,0
1832,9,0
1833,65,3
1834,8,-1
1835,135,0
1836,22,-1
1837,13,-1
1838,158,0
1839,17,0
1840,4,-1
1841,25,0
1842,52,0
1843,31,0
1844,17,-1
1845,36,-1
1846,89,-1
1847,433,0
1848,80,-1
1849,15,-1
1850,32,3
1851,14,0
1852,572,0
1853,38,0
1854,24,0
1855,49,0
1856,96,1
1857,48,0
1858,57,1
1859,13,1
1860,39,0
1861,161,0
1862,53,3
1863,23,0
1864,52,-1
1865,30,0
1866,22,0
1867,38,2
1868,9,-1
1869,115,-1
1870,42,0
1871,80,-1
1872,34,-1
1873,84,-1
1874,33,3
1875,63,0
1876,32,1
1877,59,1
1878,5,-1
1879,22,0
1880,174,0
1881,38,-1
1882,45,-1
1883,118,0
1884,40,1
1885,10,0
1886,60,0
1887,40,0
1888,9,2
1889,49,-1
1890,155,3
1891,45,0
1892,68,-1
1893,133,0
1894,16,0
1895,69,0
1896,47,0
1897,23,0
1898,12,0
1899,52,-1
1900,206,0
1926,43,0
1927,202,-1
1928,21,2
1929,70,3
1930,49,0
1931,33,0
1932,45,-1
1933,23,2
1934,4,0
1935,111,0
1936,48,2
1937,37,3
1938,20,-1
1939,36,2
1940,160,0
1941,57,-1
1942,54,-1
1943,290,0
1944,68,0
1945,23,0
1946,8,-1
1947,158,0
1948,30,-1
1949,45,4
1950,95,0
1951,12,0
1952,15,-1
1953,36,-1
1954,51,0
1955,17,-1
1956,72,2
1957,50,3
1958,13,0
1959,22,0
1960,16,2
1961,184,-1
1962,25,-1
1963,38,0
1964,21,1
1965,34,0
1966,9,0
1967,59,0
1968,210,0
1969,62,-1
1970,47,-1
1971,37,3
1972,60,0
1973,16,-1
1974,54,-1
1975,68,0
1976,50,0
1977,53,0
1978,31,-1
1979,79,4
1980,54,0
1981,59,-1
1982,22,0
1983,25,0
1984,36,0
1985,99,0
1986,108,0
1987,74,0
1988,14,-1
1989,88,-1
1990,44,-1
1991,17,-1
1992,21,-1
1993,56,4
1994,50,0
1995,90,1
1996,293,0
1997,78,2
1998,90,0
1999,10,-1
2000,33,-1
2076,27,0
2077,147,0
2078,22,0
2079,16,0
2080,32,0
2081,29,0
2082,75,-1
2083,52,-1
2084,12,0
2085,201,0
2086,131,-1
2087,9,-1
2088,13,0
2089,87,0
2090,49,0
2091,25,0
2092,37,0
2093,23,0
2094,80,0
2095,35,0
2096,133,-1
2097,28,0
2098,115,0
2099,78,-1
2100,38,0
2126,12,1
2127,16,0
2128,185,0
2129,9,-1
2130,133,-1
2131,48,3
2132,13,2
2133,47,0
2134,131,0
2135,28,-1
2136,23,-1
2137,11,0
2138,176,-1
2139,16,2
2140,60,0
2141,16,0
2142,13,0
2143,11,-1
2144,96,0
2145,64,-1
2146,135,0
2147,57,-1
2148,12,-1
2149,8,0
2150,23,-1
2151,15,-1
2152,7,-1
2153,87,0
2154,180,0
2155,22,0
2156,6,1
2157,30,-1
2158,110,0
2159,35,0
2160,85,2
2161,4,0
2162,11,0
2163,81,0
2164,56,0
2165,31,1
2166,24,2
2167,25,-1
2168,221,4
2169,13,-1
2170,64,0
2171,38,-1
2172,13,-1
2173,161,-1
2174,64,-1
